scope,scope_id,scheme,mode,shots,attack,reference_count,nominal_fpr,n_replicates,actual_fpr_median,actual_fpr_q05,actual_fpr_q95,calibrated_tpr_median,calibrated_tpr_q05,calibrated_tpr_q95
cell,eff_su2_r5_d2,leave_cell_out,noisy_shot,128,deconvolved_lira,16,0.05,10,0.06,0.043333333333333335,0.07399999999999998,0.04666666666666667,0.036,0.058499999999999996
cell,eff_su2_r5_d2,leave_cell_out,noisy_shot,128,empirical_channel_lira,16,0.01,10,0.013333333333333334,0.006666666666666667,0.02183333333333333,0.021666666666666667,0.013333333333333334,0.032166666666666656
cell,eff_su2_r5_d2,leave_cell_out,noisy_shot,128,empirical_channel_lira,16,0.05,10,0.07333333333333333,0.0615,0.09399999999999999,0.09,0.07816666666666666,0.10366666666666667
cell,eff_su2_r5_d2,leave_cell_out,noisy_shot,128,latent_lira_mismatched,16,0.01,10,0.005,0.0,0.013333333333333334,0.0,0.0,0.005166666666666663
cell,eff_su2_r5_d2,leave_cell_out,noisy_shot,128,latent_lira_mismatched,16,0.05,10,0.06,0.04966666666666667,0.06883333333333333,0.04833333333333334,0.03666666666666667,0.058499999999999996
cell,eff_su2_r5_d2,leave_cell_out,noisy_shot,128,loss_mia,0,0.01,10,0.013333333333333334,0.006666666666666667,0.018499999999999996,0.013333333333333334,0.006666666666666667,0.023666666666666662
cell,eff_su2_r5_d2,leave_cell_out,noisy_shot,128,loss_mia,0,0.05,10,0.06333333333333334,0.05333333333333334,0.08366666666666667,0.065,0.04783333333333334,0.09549999999999999
cell,eff_su2_r5_d2,leave_cell_out,noisy_shot,128,noise_augmented_lira,16,0.01,10,0.013333333333333334,0.006666666666666667,0.018499999999999996,0.023333333333333334,0.018166666666666668,0.03366666666666666
cell,eff_su2_r5_d2,leave_cell_out,noisy_shot,128,noise_augmented_lira,16,0.05,10,0.06166666666666667,0.05483333333333333,0.07033333333333333,0.08666666666666667,0.07966666666666666,0.10333333333333333
cell,eff_su2_r5_d2,leave_cell_out,noisy_shot,512,affine_channel_lira,16,0.01,10,0.021666666666666667,0.014833333333333334,0.02666666666666667,0.025,0.0145,0.03
cell,eff_su2_r5_d2,leave_cell_out,noisy_shot,512,affine_channel_lira,16,0.05,10,0.07666666666666666,0.0645,0.09883333333333333,0.10333333333333333,0.0945,0.1085
cell,eff_su2_r5_d2,leave_cell_out,noisy_shot,512,deconvolved_lira,16,0.01,10,0.008333333333333333,0.0033333333333333335,0.011833333333333331,0.005,0.0,0.008499999999999997
cell,eff_su2_r5_d2,leave_cell_out,noisy_shot,512,deconvolved_lira,16,0.05,10,0.058333333333333334,0.044833333333333336,0.0685,0.055,0.04666666666666667,0.06183333333333333
cell,eff_su2_r5_d2,leave_cell_out,noisy_shot,512,empirical_channel_lira,16,0.01,10,0.016666666666666666,0.0115,0.023333333333333334,0.018333333333333333,0.0115,0.028499999999999998
cell,eff_su2_r5_d2,leave_cell_out,noisy_shot,512,empirical_channel_lira,16,0.05,10,0.08499999999999999,0.06483333333333334,0.09516666666666666,0.08333333333333334,0.07150000000000001,0.10183333333333333
cell,eff_su2_r5_d2,leave_cell_out,noisy_shot,512,latent_lira_mismatched,16,0.01,10,0.011666666666666667,0.003,0.015166666666666663,0.0033333333333333335,0.0,0.006666666666666667
cell,eff_su2_r5_d2,leave_cell_out,noisy_shot,512,latent_lira_mismatched,16,0.05,10,0.058333333333333334,0.036,0.06516666666666666,0.05,0.036333333333333336,0.06033333333333333
cell,eff_su2_r5_d2,leave_cell_out,noisy_shot,512,loss_mia,0,0.01,10,0.011666666666666667,0.006333333333333333,0.016666666666666666,0.01,0.006666666666666667,0.011833333333333331
cell,eff_su2_r5_d2,leave_cell_out,noisy_shot,512,loss_mia,0,0.05,10,0.055,0.042666666666666665,0.067,0.05333333333333334,0.043000000000000003,0.06916666666666664
cell,eff_su2_r5_d2,leave_cell_out,noisy_shot,512,noise_augmented_lira,16,0.01,10,0.02,0.013333333333333334,0.028499999999999998,0.021666666666666667,0.013000000000000001,0.03183333333333333
cell,eff_su2_r5_d2,leave_cell_out,noisy_shot,512,noise_augmented_lira,16,0.05,10,0.08333333333333333,0.06116666666666667,0.09666666666666666,0.10333333333333333,0.09816666666666667,0.11
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,1024,affine_channel_lira,16,0.01,10,0.01,0.004833333333333334,0.02,0.008333333333333333,0.0015,0.011833333333333331
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,1024,affine_channel_lira,16,0.05,10,0.051666666666666666,0.0415,0.06033333333333333,0.06,0.05333333333333334,0.07333333333333333
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,1024,deconvolved_lira,16,0.01,10,0.011666666666666667,0.006333333333333333,0.018499999999999996,0.0033333333333333335,0.0033333333333333335,0.008499999999999997
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,1024,deconvolved_lira,16,0.05,10,0.05,0.03966666666666667,0.06366666666666666,0.05666666666666667,0.04666666666666667,0.06333333333333334
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,1024,empirical_channel_lira,16,0.01,10,0.01,0.006666666666666667,0.018499999999999996,0.013333333333333334,0.01,0.020333333333333328
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,1024,empirical_channel_lira,16,0.05,10,0.05,0.03816666666666667,0.06,0.06333333333333334,0.04666666666666667,0.07366666666666666
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,1024,latent_lira_mismatched,16,0.01,10,0.013333333333333334,0.006333333333333333,0.016666666666666666,0.0033333333333333335,0.0,0.006666666666666667
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,1024,latent_lira_mismatched,16,0.05,10,0.05,0.03816666666666667,0.06183333333333333,0.04833333333333334,0.03966666666666667,0.06
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,1024,loss_mia,0,0.01,10,0.01,0.008166666666666668,0.015166666666666663,0.011666666666666667,0.008166666666666668,0.020333333333333328
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,1024,loss_mia,0,0.05,10,0.051666666666666666,0.03666666666666667,0.062166666666666655,0.04166666666666667,0.03666666666666667,0.058499999999999996
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,1024,noise_augmented_lira,16,0.01,10,0.013333333333333334,0.01,0.018499999999999996,0.006666666666666667,0.0033333333333333335,0.015166666666666663
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,1024,noise_augmented_lira,16,0.05,10,0.051666666666666666,0.043333333333333335,0.058499999999999996,0.055,0.04633333333333334,0.07216666666666666
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,128,affine_channel_lira,16,0.01,10,0.01,0.006666666666666667,0.016999999999999994,0.016666666666666666,0.01,0.02183333333333333
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,128,affine_channel_lira,16,0.05,10,0.05,0.03816666666666667,0.06516666666666666,0.07333333333333333,0.06,0.08883333333333332
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,128,deconvolved_lira,16,0.01,10,0.011666666666666667,0.0015,0.016666666666666666,0.005,0.0,0.01
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,128,deconvolved_lira,16,0.05,10,0.051666666666666666,0.04,0.07066666666666666,0.035,0.026333333333333334,0.05216666666666665
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,128,empirical_channel_lira,16,0.01,10,0.01,0.006666666666666667,0.018833333333333323,0.016666666666666666,0.013333333333333334,0.03
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,128,empirical_channel_lira,16,0.05,10,0.043333333333333335,0.036333333333333336,0.06733333333333331,0.07,0.0615,0.08183333333333333
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,128,latent_lira_mismatched,16,0.01,10,0.01,0.003,0.020333333333333328,0.0033333333333333335,0.0,0.011833333333333331
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,128,latent_lira_mismatched,16,0.05,10,0.051666666666666666,0.043333333333333335,0.06366666666666666,0.03,0.024833333333333336,0.05
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,128,loss_mia,0,0.01,10,0.011666666666666667,0.004833333333333334,0.016666666666666666,0.01,0.003,0.016666666666666666
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,128,loss_mia,0,0.05,10,0.05,0.03666666666666667,0.06733333333333331,0.055,0.03966666666666667,0.08249999999999998
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,128,noise_augmented_lira,16,0.01,10,0.011666666666666667,0.004833333333333334,0.013333333333333334,0.016666666666666666,0.009666666666666667,0.023333333333333334
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,128,noise_augmented_lira,16,0.05,10,0.04833333333333334,0.03816666666666667,0.06399999999999999,0.07666666666666666,0.06483333333333334,0.09183333333333334
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,512,affine_channel_lira,16,0.01,10,0.01,0.006666666666666667,0.018499999999999996,0.008333333333333333,0.004833333333333334,0.016666666666666666
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,512,affine_channel_lira,16,0.05,10,0.05333333333333334,0.04,0.06883333333333333,0.065,0.0545,0.07666666666666666
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,512,deconvolved_lira,16,0.01,10,0.011666666666666667,0.003,0.016666666666666666,0.006666666666666667,0.0,0.01
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,512,deconvolved_lira,16,0.05,10,0.04833333333333334,0.04666666666666667,0.058499999999999996,0.043333333333333335,0.036333333333333336,0.058499999999999996
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,512,empirical_channel_lira,16,0.01,10,0.013333333333333334,0.008166666666666668,0.016666666666666666,0.013333333333333334,0.008166666666666668,0.018499999999999996
