scope,scope_id,scheme,mode,shots,attack,reference_count,n_replicates,auc_median,auc_q05,auc_q95,advantage_median,advantage_q05,advantage_q95,tpr_at_0_1pct_fpr_median,tpr_at_0_1pct_fpr_q05,tpr_at_0_1pct_fpr_q95,tpr_at_1pct_fpr_median,tpr_at_1pct_fpr_q05,tpr_at_1pct_fpr_q95,tpr_at_5pct_fpr_median,tpr_at_5pct_fpr_q05,tpr_at_5pct_fpr_q95
cell,eff_su2_r5_d2,leave_cell_out,noisy_shot,512,noise_augmented_lira,16,10,0.5425500000000001,0.5283183333333332,0.5678205555555556,0.09833333333333338,0.07783333333333331,0.1318333333333333,0.0,0.0,0.0018333333333333298,0.013333333333333334,0.0033333333333333335,0.025499999999999988,0.06166666666666667,0.043333333333333335,0.08333333333333333
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,1024,affine_channel_lira,16,10,0.5430388888888888,0.526315,0.5666622222222223,0.11500000000000005,0.07266666666666664,0.13733333333333336,0.0,0.0,0.0,0.013333333333333334,0.008166666666666668,0.02183333333333333,0.06666666666666667,0.05333333333333334,0.08183333333333333
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,1024,deconvolved_lira,16,10,0.5233000000000001,0.5028244444444445,0.5504016666666667,0.08333333333333337,0.06233333333333335,0.11850000000000004,0.0,0.0,0.006999999999999993,0.008333333333333333,0.0,0.018499999999999996,0.06,0.04666666666666667,0.07333333333333333
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,1024,empirical_channel_lira,16,10,0.5388666666666666,0.5265116666666666,0.5650894444444445,0.11166666666666669,0.07599999999999998,0.1355,0.006666666666666667,0.0033333333333333335,0.01,0.015,0.01,0.025166666666666664,0.06666666666666668,0.043333333333333335,0.0913333333333333
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,1024,latent_lira_mismatched,16,10,0.5356000000000001,0.516935,0.5517761111111111,0.10499999999999998,0.07116666666666666,0.1318333333333333,0.0,0.0,0.0,0.0016666666666666668,0.0,0.015166666666666663,0.04666666666666667,0.03816666666666667,0.06033333333333333
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,1024,loss_mia,0,10,0.5529611111111111,0.5465644444444444,0.5673772222222222,0.12166666666666665,0.10933333333333338,0.13250000000000003,0.0033333333333333335,0.0033333333333333335,0.006666666666666667,0.011666666666666667,0.004833333333333334,0.015166666666666663,0.05,0.036,0.06883333333333333
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,1024,noise_augmented_lira,16,10,0.5486166666666666,0.530765,0.570475,0.1166666666666667,0.07533333333333334,0.147,0.0,0.0,0.0,0.01,0.004833333333333334,0.018499999999999996,0.065,0.043000000000000003,0.08666666666666667
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,128,affine_channel_lira,16,10,0.5302444444444445,0.49705333333333335,0.5521738888888889,0.08166666666666667,0.04316666666666668,0.118,0.0016666666666666668,0.0,0.008499999999999997,0.02,0.006666666666666667,0.04516666666666667,0.07666666666666666,0.051500000000000004,0.11283333333333331
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,128,deconvolved_lira,16,10,0.51115,0.48852166666666663,0.5392716666666667,0.06,0.03683333333333339,0.09700000000000003,0.0,0.0,0.006666666666666667,0.0033333333333333335,0.0,0.01366666666666666,0.043333333333333335,0.016,0.06183333333333333
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,128,empirical_channel_lira,16,10,0.5340833333333332,0.49677,0.5643266666666666,0.09166666666666665,0.04500000000000001,0.1206666666666667,0.0033333333333333335,0.0,0.008833333333333323,0.025,0.008166666666666668,0.040666666666666657,0.075,0.05483333333333333,0.09549999999999999
