target_id,experiment,dataset,architecture,run_id,model_seed,data_seed,attacker_seed,membership_convention,n_wires,depth,target_train_acc,target_test_acc,target_gap_acc,attack_acc,attack_auc,attack_f1,attack_precision,attack_recall,tpr@fpr=0.001,tpr@fpr=0.01,tpr@fpr=0.05,tpr@fpr=0.1,tuning_method,cv_best_auc,final_epochs,attack_results_json
MNIST_QNN_eff_su2_r5_d2_s45,multiseed_factorial,mnist,QNN,1766,45,43,43,"1=member,0=nonmember",6,2,0.875,0.71,0.16500000000000004,0.5625,0.605,0.6666666666666666,0.5384615384615384,0.875,0.0,0.0,0.0,0.05,optuna,0.658203125,9,reviewer_results/learned_mia_seed43/MNIST_QNN_eff_su2_r5_d2_s45/attack_results.json
MNIST_QNN_eff_su2_r5_d6_s43,multiseed_factorial,mnist,QNN,1790,43,43,43,"1=member,0=nonmember",6,6,0.975,0.77,0.20499999999999996,0.55,0.56875,0.6727272727272727,0.5285714285714286,0.925,0.05,0.05,0.125,0.2,optuna,0.6478515625,33,reviewer_results/learned_mia_seed43/MNIST_QNN_eff_su2_r5_d6_s43/attack_results.json
MNIST_QNN_eff_su2_r5_d6_s44,multiseed_factorial,mnist,QNN,1790,44,43,43,"1=member,0=nonmember",6,6,0.945,0.795,0.1499999999999999,0.475,0.463125,0.4878048780487805,0.47619047619047616,0.5,0.1,0.1,0.1,0.1,optuna,0.6634765625,45,reviewer_results/learned_mia_seed43/MNIST_QNN_eff_su2_r5_d6_s44/attack_results.json
MNIST_QNN_eff_su2_r5_d6_s45,multiseed_factorial,mnist,QNN,1790,45,43,43,"1=member,0=nonmember",6,6,0.965,0.775,0.18999999999999995,0.55,0.5125,0.6470588235294118,0.532258064516129,0.825,0.025,0.025,0.05,0.1,optuna,0.6736328125,17,reviewer_results/learned_mia_seed43/MNIST_QNN_eff_su2_r5_d6_s45/attack_results.json
MNIST_QNN_z_r1_d2_s43,multiseed_factorial,mnist,QNN,182,43,43,43,"1=member,0=nonmember",6,2,0.805,0.78,0.025000000000000022,0.425,0.458125,0.4772727272727273,0.4375,0.525,0.1,0.1,0.125,0.15,optuna,0.5802734375,66,reviewer_results/learned_mia_seed43/MNIST_QNN_z_r1_d2_s43/attack_results.json
MNIST_QNN_z_r1_d2_s44,multiseed_factorial,mnist,QNN,182,44,43,43,"1=member,0=nonmember",6,2,0.805,0.755,0.050000000000000044,0.425,0.43,0.4523809523809524,0.4318181818181818,0.475,0.05,0.05,0.05,0.075,optuna,0.6369140625,9,reviewer_results/learned_mia_seed43/MNIST_QNN_z_r1_d2_s44/attack_results.json
MNIST_QNN_z_r1_d2_s45,multiseed_factorial,mnist,QNN,182,45,43,43,"1=member,0=nonmember",6,2,0.845,0.74,0.10499999999999998,0.575,0.573125,0.6382978723404256,0.5555555555555556,0.75,0.0,0.0,0.1,0.125,optuna,0.6236328125,10,reviewer_results/learned_mia_seed43/MNIST_QNN_z_r1_d2_s45/attack_results.json
MNIST_QNN_z_r1_d6_s43,multiseed_factorial,mnist,QNN,206,43,43,43,"1=member,0=nonmember",6,6,0.905,0.72,0.18500000000000005,0.5375,0.48,0.6336633663366337,0.5245901639344263,0.8,0.025,0.025,0.075,0.125,optuna,0.639453125,15,reviewer_results/learned_mia_seed43/MNIST_QNN_z_r1_d6_s43/attack_results.json
MNIST_QNN_z_r1_d6_s44,multiseed_factorial,mnist,QNN,206,44,43,43,"1=member,0=nonmember",6,6,0.905,0.745,0.16000000000000003,0.575,0.571875,0.575,0.575,0.575,0.0,0.0,0.025,0.1,optuna,0.655078125,9,reviewer_results/learned_mia_seed43/MNIST_QNN_z_r1_d6_s44/attack_results.json
MNIST_QNN_z_r1_d6_s45,multiseed_factorial,mnist,QNN,206,45,43,43,"1=member,0=nonmember",6,6,0.925,0.77,0.15500000000000003,0.4875,0.549375,0.594059405940594,0.4918032786885246,0.75,0.075,0.075,0.125,0.175,optuna,0.649609375,30,reviewer_results/learned_mia_seed43/MNIST_QNN_z_r1_d6_s45/attack_results.json
