scope,scope_id,scheme,mode,shots,simulator_seed,attack,reference_count,n_member,n_nonmember,auc,advantage,tpr_at_0_1pct_fpr,attained_fpr_at_0_1pct_fpr,tpr_at_1pct_fpr,attained_fpr_at_1pct_fpr,tpr_at_5pct_fpr,attained_fpr_at_5pct_fpr
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,128,4,latent_lira_mismatched,16,3000,3000,0.5043457777777778,0.030333333333333323,0.0006666666666666666,0.0,0.01,0.009333333333333334,0.051666666666666666,0.04933333333333333
target,MNIST_QNN_eff_su2_r5_d2_p7_s143,leave_target_out,noisy_shot,128,4,latent_lira_mismatched,16,1000,1000,0.49079799999999996,0.03299999999999992,0.002,0.001,0.007,0.009,0.048,0.05
target,MNIST_QNN_eff_su2_r5_d2_p7_s144,leave_target_out,noisy_shot,128,4,latent_lira_mismatched,16,1000,1000,0.511207,0.04899999999999993,0.0,0.0,0.014,0.009,0.052,0.05
target,MNIST_QNN_eff_su2_r5_d2_p7_s145,leave_target_out,noisy_shot,128,4,latent_lira_mismatched,16,1000,1000,0.511479,0.041000000000000036,0.001,0.0,0.012,0.01,0.057,0.048
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,128,5,latent_lira_mismatched,16,3000,3000,0.49901033333333333,0.018333333333333313,0.0003333333333333333,0.0,0.006666666666666667,0.009666666666666667,0.041,0.04933333333333333
target,MNIST_QNN_eff_su2_r5_d2_p7_s143,leave_target_out,noisy_shot,128,5,latent_lira_mismatched,16,1000,1000,0.49801000000000006,0.016000000000000014,0.0,0.0,0.006,0.009,0.041,0.047
target,MNIST_QNN_eff_su2_r5_d2_p7_s144,leave_target_out,noisy_shot,128,5,latent_lira_mismatched,16,1000,1000,0.501124,0.039000000000000035,0.004,0.001,0.011,0.01,0.043,0.049
target,MNIST_QNN_eff_su2_r5_d2_p7_s145,leave_target_out,noisy_shot,128,5,latent_lira_mismatched,16,1000,1000,0.49809400000000004,0.02200000000000002,0.0,0.0,0.007,0.009,0.045,0.05
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,128,6,latent_lira_mismatched,16,3000,3000,0.509069,0.03866666666666668,0.0013333333333333333,0.0003333333333333333,0.010666666666666666,0.01,0.05566666666666667,0.05
target,MNIST_QNN_eff_su2_r5_d2_p7_s143,leave_target_out,noisy_shot,128,6,latent_lira_mismatched,16,1000,1000,0.508911,0.04199999999999998,0.006,0.001,0.012,0.008,0.063,0.048
target,MNIST_QNN_eff_su2_r5_d2_p7_s144,leave_target_out,noisy_shot,128,6,latent_lira_mismatched,16,1000,1000,0.5014879999999999,0.029000000000000026,0.001,0.001,0.004,0.01,0.057,0.05
target,MNIST_QNN_eff_su2_r5_d2_p7_s145,leave_target_out,noisy_shot,128,6,latent_lira_mismatched,16,1000,1000,0.516715,0.04899999999999999,0.002,0.0,0.011,0.008,0.048,0.05
cell,eff_su2_r5_d2,leave_target_out,noisy_shot,128,7,latent_lira_mismatched,16,3000,3000,0.4952554444444444,0.011666666666666603,0.0013333333333333333,0.0006666666666666666,0.007666666666666666,0.01,0.04733333333333333,0.05
target,MNIST_QNN_eff_su2_r5_d2_p7_s143,leave_target_out,noisy_shot,128,7,latent_lira_mismatched,16,1000,1000,0.508288,0.03400000000000003,0.003,0.001,0.012,0.01,0.048,0.048
target,MNIST_QNN_eff_su2_r5_d2_p7_s144,leave_target_out,noisy_shot,128,7,latent_lira_mismatched,16,1000,1000,0.482096,0.017999999999999905,0.002,0.001,0.007,0.01,0.05,0.05
target,MNIST_QNN_eff_su2_r5_d2_p7_s145,leave_target_out,noisy_shot,128,7,latent_lira_mismatched,16,1000,1000,0.4948290000000001,0.019000000000000017,0.001,0.001,0.006,0.008,0.048,0.049
