victim_target_id,calibration_target_id,structural_cell_id,attack,auc,empirical_tpr_at_1pct_fpr,empirical_attained_fpr,nominal_fpr,calibration_threshold,actual_victim_fpr,operational_tpr,loss_conditioned_auc,loss_conditioned_bins,loss_conditioned_records,victim_members,victim_nonmembers,calibration_members,calibration_nonmembers,training_rows_before_identity_aggregation,training_rows_removed_for_held_identity_overlap,training_unique_content_identities,feature_count,attacker
MNIST_QNN_zz_r5_d6_q0_s250,MNIST_QNN_zz_r5_d6_q0_s251,zz_r5_d6,fixed_marginal,0.523114,0.012,0.01,0.01,0.7972520259088326,0.001,0.003,0.5156179340630481,20,2000,1000,1000,1000,1000,8000,0,8000,21,"fixed MLP(64,32), seeds 41/42/43"
MNIST_QNN_zz_r5_d6_q0_s250,MNIST_QNN_zz_r5_d6_q0_s251,zz_r5_d6,fixed_joint,0.51674,0.009,0.01,0.01,0.7076713654098806,0.006,0.008,0.5103625960601404,20,2000,1000,1000,1000,1000,8000,0,8000,100,"fixed MLP(64,32), seeds 41/42/43"
MNIST_QNN_zz_r5_d6_q0_s250,MNIST_QNN_zz_r5_d6_q0_s251,zz_r5_d6,paired_probability_probe,0.5166459999999999,0.01,0.01,0.01,0.640316504787056,0.001,0.002,0.49638620037925413,20,2000,1000,1000,1000,1000,8000,0,8000,37,"fixed MLP(64,32), seeds 41/42/43"
MNIST_QNN_zz_r5_d6_q0_s250,MNIST_QNN_zz_r5_d6_q0_s251,zz_r5_d6,paired_marginal_probe,0.488333,0.01,0.01,0.01,0.8147504339498921,0.007,0.01,0.4765242762602524,20,2000,1000,1000,1000,1000,8000,0,8000,67,"fixed MLP(64,32), seeds 41/42/43"
MNIST_QNN_zz_r5_d6_q0_s250,MNIST_QNN_zz_r5_d6_q0_s251,zz_r5_d6,paired_joint_probe,0.52256,0.012,0.01,0.01,0.7547028414399491,0.005,0.009,0.5200935198096623,20,2000,1000,1000,1000,1000,8000,0,8000,304,"fixed MLP(64,32), seeds 41/42/43"
MNIST_QNN_zz_r5_d6_q0_s250,MNIST_QNN_zz_r5_d6_q0_s251,zz_r5_d6,clean_z_diagnostic,0.5363619999999999,0.012,0.01,0.01,0.7047754356356414,0.006,0.001,0.5124682373548023,20,2000,1000,1000,1000,1000,8000,0,8000,15,"fixed MLP(64,32), seeds 41/42/43"
MNIST_QNN_zz_r5_d6_q0_s251,MNIST_QNN_zz_r5_d6_q0_s249,zz_r5_d6,loss_mia,0.561928,0.015,0.01,0.01,0.8942123889923096,0.014,0.025,0.5024135213175125,20,2000,1000,1000,1000,1000,8000,0,8000,1,raw score
MNIST_QNN_zz_r5_d6_q0_s251,MNIST_QNN_zz_r5_d6_q0_s249,zz_r5_d6,learned_mia,0.526084,0.03,0.01,0.01,0.5873087441688428,0.016,0.036,0.5105547458991575,20,2000,1000,1000,1000,1000,8000,0,8000,9,"fixed MLP(64,32), seeds 41/42/43"
MNIST_QNN_zz_r5_d6_q0_s251,MNIST_QNN_zz_r5_d6_q0_s249,zz_r5_d6,classical_stochastic_control,0.518883,0.007,0.01,0.01,0.58284052790958,0.01,0.007,0.5020445738541514,20,2000,1000,1000,1000,1000,8000,0,8000,17,"fixed MLP(64,32), seeds 41/42/43"
MNIST_QNN_zz_r5_d6_q0_s251,MNIST_QNN_zz_r5_d6_q0_s249,zz_r5_d6,fixed_marginal,0.524914,0.015,0.01,0.01,0.7774536684172589,0.025,0.036,0.5227819696897914,20,2000,1000,1000,1000,1000,8000,0,8000,21,"fixed MLP(64,32), seeds 41/42/43"
MNIST_QNN_zz_r5_d6_q0_s251,MNIST_QNN_zz_r5_d6_q0_s249,zz_r5_d6,fixed_joint,0.5183409999999999,0.006,0.01,0.01,0.6929401277204436,0.001,0.0,0.4965598905088887,20,2000,1000,1000,1000,1000,8000,0,8000,100,"fixed MLP(64,32), seeds 41/42/43"
MNIST_QNN_zz_r5_d6_q0_s251,MNIST_QNN_zz_r5_d6_q0_s249,zz_r5_d6,paired_probability_probe,0.521077,0.011,0.01,0.01,0.6908985668400843,0.012,0.013,0.48162337539620476,20,2000,1000,1000,1000,1000,8000,0,8000,37,"fixed MLP(64,32), seeds 41/42/43"
MNIST_QNN_zz_r5_d6_q0_s251,MNIST_QNN_zz_r5_d6_q0_s249,zz_r5_d6,paired_marginal_probe,0.514552,0.011,0.01,0.01,0.7996035338900623,0.033,0.049,0.5029953640119162,20,2000,1000,1000,1000,1000,8000,0,8000,67,"fixed MLP(64,32), seeds 41/42/43"
MNIST_QNN_zz_r5_d6_q0_s251,MNIST_QNN_zz_r5_d6_q0_s249,zz_r5_d6,paired_joint_probe,0.508603,0.014,0.01,0.01,0.8968429099697272,0.005,0.007,0.5024436371262565,20,2000,1000,1000,1000,1000,8000,0,8000,304,"fixed MLP(64,32), seeds 41/42/43"
MNIST_QNN_zz_r5_d6_q0_s251,MNIST_QNN_zz_r5_d6_q0_s249,zz_r5_d6,clean_z_diagnostic,0.5610820000000001,0.018,0.01,0.01,0.58184753441743,0.022,0.041,0.5259464130983683,20,2000,1000,1000,1000,1000,8000,0,8000,15,"fixed MLP(64,32), seeds 41/42/43"
