scope,shots,replicate,contrast,auc_difference,advantage_difference,tpr_at_0_1pct_fpr_difference,tpr_at_1pct_fpr_difference,tpr_at_5pct_fpr_difference
eff_su2_r1_d2,32,27,matched_minus_mismatched,-0.007683333333333375,-0.003333333333333355,0.0016666666666666668,0.01,-0.008333333333333338
eff_su2_r1_d2,32,27,matched_minus_naive_mean,-0.012341666666666695,-0.016666666666666774,0.0016666666666666668,0.02,0.015
eff_su2_r1_d2,32,27,matched_minus_deconvolved_mean,-0.020955555555555505,-0.011666666666666659,0.0033333333333333335,0.015000000000000001,-0.006666666666666668
eff_su2_r1_d2,32,28,matched_minus_mismatched,-0.023780555555555527,-0.023333333333333317,0.006666666666666667,0.013333333333333334,0.0016666666666666705
eff_su2_r1_d2,32,28,matched_minus_naive_mean,-0.0268472222222223,-0.036666666666666625,0.006666666666666667,0.016666666666666666,0.018333333333333333
eff_su2_r1_d2,32,28,matched_minus_deconvolved_mean,-0.01436944444444449,-0.033333333333333326,0.006666666666666667,0.02,0.023333333333333338
eff_su2_r1_d2,32,29,matched_minus_mismatched,-0.004672222222222189,0.010000000000000037,0.0,0.01,0.021666666666666667
eff_su2_r1_d2,32,29,matched_minus_naive_mean,-0.015733333333333266,-0.008333333333333331,0.0,0.016666666666666666,0.020000000000000004
eff_su2_r1_d2,32,29,matched_minus_deconvolved_mean,-0.00868055555555547,0.010000000000000037,0.0,0.005000000000000001,-0.006666666666666668
eff_su2_r1_d2,64,0,matched_minus_mismatched,0.002475000000000005,0.0033333333333331883,0.011666666666666667,0.015,0.0049999999999999975
eff_su2_r1_d2,64,0,matched_minus_naive_mean,0.0023222222222221145,-0.006666666666666821,0.013333333333333334,0.018333333333333333,0.016666666666666663
eff_su2_r1_d2,64,0,matched_minus_deconvolved_mean,-0.007550000000000057,-0.011666666666666714,0.013333333333333334,0.015,0.016666666666666663
eff_su2_r1_d2,64,1,matched_minus_mismatched,-0.024436111111111214,-0.018333333333333396,0.005,0.019999999999999997,0.011666666666666672
