scope,scope_id,mode,shots,attack,reference_count,n_replicates,auc_median,auc_q05,auc_q95,advantage_median,advantage_q05,advantage_q95,tpr_at_0_1pct_fpr_median,tpr_at_0_1pct_fpr_q05,tpr_at_0_1pct_fpr_q95,tpr_at_1pct_fpr_median,tpr_at_1pct_fpr_q05,tpr_at_1pct_fpr_q95,tpr_at_5pct_fpr_median,tpr_at_5pct_fpr_q05,tpr_at_5pct_fpr_q95
target,MNIST_QNN_eff_su2_r1_d2_s45,ideal_shot,512,deconvolved_lira,4,10,0.49165000000000003,0.42556,0.52219,0.065,0.019000000000000003,0.1519999999999999,0.0,0.0,0.025499999999999988,0.015,0.0,0.03549999999999999,0.045,0.0245,0.0755
target,MNIST_QNN_eff_su2_r1_d2_s45,ideal_shot,512,deconvolved_lira,8,10,0.50335,0.46600500000000006,0.56552,0.07500000000000001,0.04899999999999998,0.14100000000000001,0.0,0.0,0.01,0.005,0.0,0.02,0.045,0.009000000000000001,0.1055
target,MNIST_QNN_eff_su2_r1_d2_s45,ideal_shot,512,empirical_channel_lira,16,10,0.50255,0.40387500000000004,0.5870299999999999,0.08000000000000002,0.024499999999999973,0.1784999999999999,0.005,0.0,0.02,0.02,0.0,0.025499999999999988,0.04,0.0145,0.11299999999999995
target,MNIST_QNN_eff_su2_r1_d2_s45,ideal_shot,512,empirical_channel_lira,4,10,0.4962,0.44541499999999995,0.54886,0.07000000000000006,0.02350000000000002,0.1455,0.0,0.0,0.005499999999999989,0.005,0.0,0.025499999999999988,0.06,0.009000000000000001,0.0755
target,MNIST_QNN_eff_su2_r1_d2_s45,ideal_shot,512,empirical_channel_lira,8,10,0.475,0.44339,0.57522,0.07499999999999996,0.03899999999999999,0.16099999999999998,0.0,0.0,0.025499999999999988,0.01,0.0,0.03549999999999999,0.045,0.01,0.0755
target,MNIST_QNN_eff_su2_r1_d2_s45,ideal_shot,512,latent_lira_mismatched,16,10,0.52475,0.437935,0.602485,0.10500000000000004,0.03450000000000003,0.22099999999999995,0.0,0.0,0.0,0.01,0.0,0.03,0.055,0.02,0.10099999999999998
target,MNIST_QNN_eff_su2_r1_d2_s45,ideal_shot,512,latent_lira_mismatched,4,10,0.48779999999999996,0.42606499999999997,0.518455,0.06500000000000003,0.018999999999999993,0.15199999999999997,0.0,0.0,0.025499999999999988,0.015,0.0,0.046499999999999965,0.045,0.0245,0.0755
target,MNIST_QNN_eff_su2_r1_d2_s45,ideal_shot,512,latent_lira_mismatched,8,10,0.5074,0.46241000000000004,0.56305,0.08000000000000002,0.04450000000000001,0.141,0.0,0.0,0.01,0.005,0.0,0.02,0.055,0.0145,0.12099999999999998
target,MNIST_QNN_eff_su2_r1_d2_s45,ideal_shot,512,loss_mia,0,10,0.5183,0.48821,0.549545,0.08500000000000008,0.06449999999999997,0.151,0.01,0.0,0.02,0.015,0.01,0.04099999999999998,0.06,0.0345,0.1
target,MNIST_QNN_eff_su2_r1_d2_s45,ideal_shot,512,noise_augmented_lira,16,10,0.5105999999999999,0.42627999999999994,0.58419,0.10500000000000001,0.03450000000000003,0.182,0.005,0.0,0.02,0.015,0.0,0.03099999999999998,0.05,0.01,0.08099999999999997
