source_label,pair_id,z_run_id,zz_run_id,n_wires,depth,reps,pad_mode,ql_ent,ql_op,ql_rev,z_train,zz_train,z_test,zz_test,z_gap,zz_gap,delta_train_abs,delta_test_abs,delta_gap_abs,mean_test_acc,mean_gap
Circles_QNN,Circles_QNN_z11811_zz11812,11811,11812,2,5,4,zero,pairwise,crz,False,0.85,0.85,0.71,0.71,0.14,0.14,0.0,0.0,0.0,0.71,0.14
Circles_QNN,Circles_QNN_z12151_zz12152,12151,12152,3,3,1,wrap,pairwise,crz,False,0.85,0.85,0.71,0.71,0.14,0.14,0.0,0.0,0.0,0.71,0.14
Circles_QNN,Circles_QNN_z14431_zz14432,14431,14432,3,3,2,wrap,pairwise,rzz,False,0.87,0.87,0.71,0.71,0.16000000000000003,0.16000000000000003,0.0,0.0,0.0,0.71,0.16000000000000003
Circles_QNN,Circles_QNN_z19531_zz19532,19531,19532,4,2,2,wrap,full,cx,False,0.87,0.87,0.71,0.71,0.16000000000000003,0.16000000000000003,0.0,0.0,0.0,0.71,0.16000000000000003
Circles_QNN,Circles_QNN_z19991_zz19992,19991,19992,4,5,2,repeatlast,full,cx,False,0.88,0.88,0.71,0.71,0.17000000000000004,0.17000000000000004,0.0,0.0,0.0,0.71,0.17000000000000004
Circles_QNN,Circles_QNN_z20791_zz20792,20791,20792,2,5,4,wrap,full,crz,False,0.85,0.85,0.71,0.71,0.14,0.14,0.0,0.0,0.0,0.71,0.14
Circles_QNN,Circles_QNN_z20801_zz20802,20801,20802,2,5,4,repeatlast,full,crz,False,0.85,0.85,0.71,0.71,0.14,0.14,0.0,0.0,0.0,0.71,0.14
Circles_QNN,Circles_QNN_z20811_zz20812,20811,20812,2,5,4,zero,full,crz,False,0.85,0.85,0.71,0.71,0.14,0.14,0.0,0.0,0.0,0.71,0.14
Circles_QNN,Circles_QNN_z21561_zz21562,21561,21562,3,5,4,zero,full,crz,False,0.87,0.87,0.71,0.71,0.16000000000000003,0.16000000000000003,0.0,0.0,0.0,0.71,0.16000000000000003
Circles_QNN,Circles_QNN_z91_zz92,91,92,2,2,4,wrap,linear,cx,False,0.86,0.86,0.7,0.7,0.16000000000000003,0.16000000000000003,0.0,0.0,0.0,0.7,0.16000000000000003
Circles_QNN,Circles_QNN_z101_zz102,101,102,2,2,4,repeatlast,linear,cx,False,0.86,0.86,0.7,0.7,0.16000000000000003,0.16000000000000003,0.0,0.0,0.0,0.7,0.16000000000000003
Circles_QNN,Circles_QNN_z111_zz112,111,112,2,2,4,zero,linear,cx,False,0.86,0.86,0.7,0.7,0.16000000000000003,0.16000000000000003,0.0,0.0,0.0,0.7,0.16000000000000003
Circles_QNN,Circles_QNN_z1681_zz1682,1681,1682,4,3,2,wrap,linear,cx,False,0.88,0.88,0.7,0.7,0.18000000000000005,0.18000000000000005,0.0,0.0,0.0,0.7,0.18000000000000005
Circles_QNN,Circles_QNN_z9091_zz9092,9091,9092,2,2,4,wrap,pairwise,cx,False,0.86,0.86,0.7,0.7,0.16000000000000003,0.16000000000000003,0.0,0.0,0.0,0.7,0.16000000000000003
Circles_QNN,Circles_QNN_z9101_zz9102,9101,9102,2,2,4,repeatlast,pairwise,cx,False,0.86,0.86,0.7,0.7,0.16000000000000003,0.16000000000000003,0.0,0.0,0.0,0.7,0.16000000000000003
Circles_QNN,Circles_QNN_z9111_zz9112,9111,9112,2,2,4,zero,pairwise,cx,False,0.86,0.86,0.7,0.7,0.16000000000000003,0.16000000000000003,0.0,0.0,0.0,0.7,0.16000000000000003
Circles_QNN,Circles_QNN_z15031_zz15032,15031,15032,4,2,2,wrap,pairwise,rzz,False,0.87,0.87,0.7,0.7,0.17000000000000004,0.17000000000000004,0.0,0.0,0.0,0.7,0.17000000000000004
Circles_QNN,Circles_QNN_z18091_zz18092,18091,18092,2,2,4,wrap,full,cx,False,0.86,0.86,0.7,0.7,0.16000000000000003,0.16000000000000003,0.0,0.0,0.0,0.7,0.16000000000000003
Circles_QNN,Circles_QNN_z18101_zz18102,18101,18102,2,2,4,repeatlast,full,cx,False,0.86,0.86,0.7,0.7,0.16000000000000003,0.16000000000000003,0.0,0.0,0.0,0.7,0.16000000000000003
Circles_QNN,Circles_QNN_z18111_zz18112,18111,18112,2,2,4,zero,full,cx,False,0.86,0.86,0.7,0.7,0.16000000000000003,0.16000000000000003,0.0,0.0,0.0,0.7,0.16000000000000003
Circles_QNN,Circles_QNN_z18861_zz18862,18861,18862,3,2,4,zero,full,cx,False,0.87,0.87,0.7,0.7,0.17000000000000004,0.17000000000000004,0.0,0.0,0.0,0.7,0.17000000000000004
Circles_QNN,Circles_QNN_z23401_zz23402,23401,23402,3,3,1,wrap,full,rzz,False,0.86,0.86,0.7,0.7,0.16000000000000003,0.16000000000000003,0.0,0.0,0.0,0.7,0.16000000000000003
Circles_QNN,Circles_QNN_z24481_zz24482,24481,24482,4,5,2,wrap,full,rzz,False,0.88,0.88,0.7,0.7,0.18000000000000005,0.18000000000000005,0.0,0.0,0.0,0.7,0.18000000000000005
Circles_QNN,Circles_QNN_z931_zz932,931,932,3,3,2,wrap,linear,cx,False,0.88,0.88,0.69,0.69,0.19000000000000006,0.19000000000000006,0.0,0.0,0.0,0.69,0.19000000000000006
Circles_QNN,Circles_QNN_z5641_zz5642,5641,5642,3,4,4,wrap,linear,rzz,False,0.88,0.88,0.69,0.69,0.19000000000000006,0.19000000000000006,0.0,0.0,0.0,0.69,0.19000000000000006
Circles_QNN,Circles_QNN_z9931_zz9932,9931,9932,3,3,2,wrap,pairwise,cx,False,0.88,0.88,0.69,0.69,0.19000000000000006,0.19000000000000006,0.0,0.0,0.0,0.69,0.19000000000000006
Circles_QNN,Circles_QNN_z14641_zz14642,14641,14642,3,4,4,wrap,pairwise,rzz,False,0.88,0.88,0.69,0.69,0.19000000000000006,0.19000000000000006,0.0,0.0,0.0,0.69,0.19000000000000006
Circles_QNN,Circles_QNN_z24391_zz24392,24391,24392,4,4,4,wrap,full,rzz,False,0.91,0.91,0.68,0.68,0.22999999999999998,0.22999999999999998,0.0,0.0,0.0,0.68,0.22999999999999998
Circles_QNN,Circles_QNN_z1741_zz1742,1741,1742,4,3,4,wrap,linear,cx,False,0.9,0.9,0.66,0.66,0.24,0.24,0.0,0.0,0.0,0.66,0.24
Circles_QNN,Circles_QNN_z121_zz122,121,122,2,2,5,wrap,linear,cx,False,0.68,0.68,0.59,0.59,0.09000000000000008,0.09000000000000008,0.0,0.0,0.0,0.59,0.09000000000000008
Circles_QNN,Circles_QNN_z131_zz132,131,132,2,2,5,repeatlast,linear,cx,False,0.68,0.68,0.59,0.59,0.09000000000000008,0.09000000000000008,0.0,0.0,0.0,0.59,0.09000000000000008
Circles_QNN,Circles_QNN_z141_zz142,141,142,2,2,5,zero,linear,cx,False,0.68,0.68,0.59,0.59,0.09000000000000008,0.09000000000000008,0.0,0.0,0.0,0.59,0.09000000000000008
Circles_QNN,Circles_QNN_z9121_zz9122,9121,9122,2,2,5,wrap,pairwise,cx,False,0.68,0.68,0.59,0.59,0.09000000000000008,0.09000000000000008,0.0,0.0,0.0,0.59,0.09000000000000008
Circles_QNN,Circles_QNN_z9131_zz9132,9131,9132,2,2,5,repeatlast,pairwise,cx,False,0.68,0.68,0.59,0.59,0.09000000000000008,0.09000000000000008,0.0,0.0,0.0,0.59,0.09000000000000008
Circles_QNN,Circles_QNN_z9141_zz9142,9141,9142,2,2,5,zero,pairwise,cx,False,0.68,0.68,0.59,0.59,0.09000000000000008,0.09000000000000008,0.0,0.0,0.0,0.59,0.09000000000000008
Circles_QNN,Circles_QNN_z18121_zz18122,18121,18122,2,2,5,wrap,full,cx,False,0.68,0.68,0.59,0.59,0.09000000000000008,0.09000000000000008,0.0,0.0,0.0,0.59,0.09000000000000008
Circles_QNN,Circles_QNN_z18131_zz18132,18131,18132,2,2,5,repeatlast,full,cx,False,0.68,0.68,0.59,0.59,0.09000000000000008,0.09000000000000008,0.0,0.0,0.0,0.59,0.09000000000000008
