strategy,auxiliary_target_count,subset_replicate,shots,contrast,n_simulator_seeds,auc_difference,tpr_at_0_1pct_fpr_difference,actual_fpr_difference,calibrated_tpr_difference
cross_cell_2,2,3,1024,affine_minus_loss,10,0.024227999999999972,0.002333333333333334,-0.01833333333333333,-0.0036666666666666653
cross_cell_2,2,3,1024,affine_minus_mismatched_lira,10,0.007901555555555606,-0.0006666666666666661,-0.004666666666666666,-0.002666666666666666
cross_cell_2,2,3,128,affine_minus_loss,10,0.012956333333333347,0.004666666666666666,-0.01,0.002333333333333333
cross_cell_2,2,3,128,affine_minus_mismatched_lira,10,0.006310000000000038,0.005333333333333333,-0.012,-0.004333333333333331
cross_cell_2,2,3,512,affine_minus_loss,10,0.0198328888888889,0.002666666666666667,-0.015000000000000001,-0.0009999999999999992
cross_cell_2,2,3,512,affine_minus_mismatched_lira,10,0.006276222222222239,0.0003333333333333335,-0.007,-0.005666666666666664
cross_cell_2,2,30,1024,affine_minus_loss,10,0.02503866666666671,0.001,0.003333333333333334,0.018666666666666665
cross_cell_2,2,30,1024,affine_minus_mismatched_lira,10,0.009298666666666733,-0.0016666666666666668,0.0006666666666666661,0.010333333333333333
cross_cell_2,2,30,128,affine_minus_loss,10,0.011584555555555542,0.002,0.002666666666666667,0.017
cross_cell_2,2,30,128,affine_minus_mismatched_lira,10,0.0045164444444444896,0.003,-0.008,0.0019999999999999983
cross_cell_2,2,30,512,affine_minus_loss,10,0.021629111111111154,0.002333333333333333,0.0026666666666666666,0.020999999999999998
cross_cell_2,2,30,512,affine_minus_mismatched_lira,10,0.0074626666666667285,0.00033333333333333327,-0.002666666666666666,0.01
cross_cell_2,2,31,1024,affine_minus_loss,10,0.025741777777777808,0.002,-0.002,0.011
cross_cell_2,2,31,1024,affine_minus_mismatched_lira,10,0.00743088888888882,-0.0006666666666666668,-0.005666666666666667,-0.008333333333333333
cross_cell_2,2,31,128,affine_minus_loss,10,0.013070333333333295,0.003333333333333334,-0.00033333333333333305,0.014666666666666665
cross_cell_2,2,31,128,affine_minus_mismatched_lira,10,0.007060444444444425,0.004666666666666666,-0.019333333333333334,-0.009000000000000001
cross_cell_2,2,31,512,affine_minus_loss,10,0.019480888888888825,0.0023333333333333335,0.0,0.012333333333333335
cross_cell_2,2,31,512,affine_minus_mismatched_lira,10,0.006617555555555543,0.00033333333333333327,-0.008666666666666666,-0.010333333333333333
cross_cell_2,2,32,1024,affine_minus_loss,10,0.02658422222222212,0.0016666666666666668,0.003666666666666667,0.020333333333333335
