strategy,auxiliary_target_count,subset_replicate,shots,simulator_seed,contrast,comparator_attack,auc_difference,tpr_at_0_1pct_fpr_difference,actual_fpr_difference,calibrated_tpr_difference
cross_cell_2,2,0,128,7,affine_minus_loss,loss_mia,0.011560888888888843,0.004666666666666667,-0.017333333333333333,0.003333333333333334
cross_cell_2,2,0,128,8,affine_minus_mismatched_lira,latent_lira_mismatched,0.004250222222222266,0.0013333333333333335,-0.011333333333333332,-0.003333333333333334
cross_cell_2,2,0,128,8,affine_minus_loss,loss_mia,0.005312444444444453,0.0,-0.016,-0.002666666666666668
cross_cell_2,2,0,128,9,affine_minus_mismatched_lira,latent_lira_mismatched,0.014813333333333345,0.0013333333333333333,-0.016666666666666663,-0.013999999999999995
cross_cell_2,2,0,128,9,affine_minus_loss,loss_mia,0.0002808888888888861,0.0006666666666666666,-0.011333333333333332,0.0013333333333333357
cross_cell_2,2,0,512,0,affine_minus_mismatched_lira,latent_lira_mismatched,0.0012946666666665552,-0.000666666666666667,-0.005333333333333332,-0.003333333333333334
cross_cell_2,2,0,512,0,affine_minus_loss,loss_mia,0.02458266666666664,0.002,-0.024,-0.0006666666666666661
cross_cell_2,2,0,512,1,affine_minus_mismatched_lira,latent_lira_mismatched,0.004901777777777783,0.0013333333333333333,-0.0019999999999999983,0.0013333333333333322
cross_cell_2,2,0,512,1,affine_minus_loss,loss_mia,0.008834222222222299,0.002,-0.02266666666666666,-0.002666666666666668
cross_cell_2,2,0,512,2,affine_minus_mismatched_lira,latent_lira_mismatched,0.0015111111111111297,-0.004,0.0,-0.006000000000000002
cross_cell_2,2,0,512,2,affine_minus_loss,loss_mia,0.015612444444444429,0.0033333333333333335,-0.018666666666666665,-0.002666666666666668
cross_cell_2,2,0,512,3,affine_minus_mismatched_lira,latent_lira_mismatched,-0.005845333333333369,0.0,0.0,-0.004
cross_cell_2,2,0,512,3,affine_minus_loss,loss_mia,0.005059999999999842,0.0,-0.022,-0.005333333333333332
cross_cell_2,2,0,512,4,affine_minus_mismatched_lira,latent_lira_mismatched,0.0031173333333333053,0.0006666666666666665,0.0,-0.008
cross_cell_2,2,0,512,4,affine_minus_loss,loss_mia,0.019072888888888806,0.002,-0.021333333333333336,-0.0019999999999999983
cross_cell_2,2,0,512,5,affine_minus_mismatched_lira,latent_lira_mismatched,-0.0003991111111110168,0.0,-0.001333333333333334,-0.004
cross_cell_2,2,0,512,5,affine_minus_loss,loss_mia,0.013943555555555598,0.002,-0.020666666666666667,-0.0019999999999999983
cross_cell_2,2,0,512,6,affine_minus_mismatched_lira,latent_lira_mismatched,0.006681333333333317,0.0,0.0006666666666666661,-0.0006666666666666661
cross_cell_2,2,0,512,6,affine_minus_loss,loss_mia,0.012375555555555584,0.000666666666666667,-0.022,-0.0006666666666666661
cross_cell_2,2,0,512,7,affine_minus_mismatched_lira,latent_lira_mismatched,-0.002130666666666614,-0.0013333333333333335,0.0,-0.0006666666666666696
cross_cell_2,2,0,512,7,affine_minus_loss,loss_mia,0.01539955555555561,0.002,-0.020666666666666667,0.0019999999999999983
cross_cell_2,2,0,512,8,affine_minus_mismatched_lira,latent_lira_mismatched,-0.0014342222222222256,-0.002,0.002,-0.003333333333333334
cross_cell_2,2,0,512,8,affine_minus_loss,loss_mia,0.020340888888888853,0.0013333333333333335,-0.025333333333333333,-0.0013333333333333322
cross_cell_2,2,0,512,9,affine_minus_mismatched_lira,latent_lira_mismatched,0.008749333333333276,-0.002666666666666667,0.002,-0.005333333333333336
cross_cell_2,2,0,512,9,affine_minus_loss,loss_mia,0.011878666666666593,0.0,-0.019333333333333327,-0.007333333333333334
cross_cell_2,2,1,1024,0,affine_minus_mismatched_lira,latent_lira_mismatched,0.009800000000000142,-0.001333333333333333,-0.0019999999999999983,0.009999999999999995
cross_cell_2,2,1,1024,0,affine_minus_loss,loss_mia,0.03172088888888891,0.0013333333333333335,0.0,0.023999999999999997
cross_cell_2,2,1,1024,1,affine_minus_mismatched_lira,latent_lira_mismatched,0.007633333333333381,0.0006666666666666665,-0.0006666666666666661,0.012
cross_cell_2,2,1,1024,1,affine_minus_loss,loss_mia,0.018346222222222153,0.002,0.004,0.025333333333333333
cross_cell_2,2,1,1024,2,affine_minus_mismatched_lira,latent_lira_mismatched,0.0043333333333333,-0.002,-0.002666666666666666,0.010666666666666665
cross_cell_2,2,1,1024,2,affine_minus_loss,loss_mia,0.024204444444444473,0.004666666666666667,-0.002,0.019333333333333334
cross_cell_2,2,1,1024,3,affine_minus_mismatched_lira,latent_lira_mismatched,0.0024284444444444553,-0.002666666666666667,0.002666666666666666,0.015333333333333334
cross_cell_2,2,1,1024,3,affine_minus_loss,loss_mia,0.0227480000000001,0.0006666666666666668,0.004,0.021333333333333336
cross_cell_2,2,1,1024,4,affine_minus_mismatched_lira,latent_lira_mismatched,0.009206222222222005,0.0006666666666666665,-0.0019999999999999983,0.009333333333333329
cross_cell_2,2,1,1024,4,affine_minus_loss,loss_mia,0.025925333333333134,0.002,0.0006666666666666678,0.02533333333333333
cross_cell_2,2,1,1024,5,affine_minus_mismatched_lira,latent_lira_mismatched,0.007096888888888819,0.000666666666666667,-0.0013333333333333322,0.015333333333333334
cross_cell_2,2,1,1024,5,affine_minus_loss,loss_mia,0.023071555555555512,0.0033333333333333335,-0.002,0.025333333333333333
cross_cell_2,2,1,1024,6,affine_minus_mismatched_lira,latent_lira_mismatched,0.011009777777777896,-0.0020000000000000005,-0.002666666666666666,0.01533333333333333
cross_cell_2,2,1,1024,6,affine_minus_loss,loss_mia,0.023434666666666715,0.0,-0.0013333333333333322,0.02333333333333333
cross_cell_2,2,1,1024,7,affine_minus_mismatched_lira,latent_lira_mismatched,0.00037600000000004297,-0.0006666666666666665,0.0,0.0066666666666666645
cross_cell_2,2,1,1024,7,affine_minus_loss,loss_mia,0.030006666666666737,0.000666666666666667,0.003999999999999998,0.019999999999999997
cross_cell_2,2,1,1024,8,affine_minus_mismatched_lira,latent_lira_mismatched,0.0001888888888889051,0.0,0.0006666666666666661,0.009333333333333332
cross_cell_2,2,1,1024,8,affine_minus_loss,loss_mia,0.026146222222222182,0.0013333333333333335,-0.0006666666666666661,0.021333333333333333
cross_cell_2,2,1,1024,9,affine_minus_mismatched_lira,latent_lira_mismatched,0.007051999999999836,-0.003333333333333334,-0.007333333333333332,0.007333333333333334
cross_cell_2,2,1,1024,9,affine_minus_loss,loss_mia,0.015688000000000035,0.0006666666666666666,0.0033333333333333322,0.02
cross_cell_2,2,1,128,0,affine_minus_mismatched_lira,latent_lira_mismatched,0.023962666666666688,0.004666666666666667,-0.007333333333333334,0.019999999999999997
cross_cell_2,2,1,128,0,affine_minus_loss,loss_mia,0.021551111111111076,0.004,0.005333333333333334,0.03666666666666667
cross_cell_2,2,1,128,1,affine_minus_mismatched_lira,latent_lira_mismatched,0.00536755555555557,0.004666666666666667,-0.007333333333333334,0.021333333333333333
cross_cell_2,2,1,128,1,affine_minus_loss,loss_mia,-0.014605333333333359,0.004666666666666667,0.010666666666666665,0.03333333333333333
cross_cell_2,2,1,128,2,affine_minus_mismatched_lira,latent_lira_mismatched,0.003004888888888946,0.006,-0.006000000000000002,0.018000000000000002
cross_cell_2,2,1,128,2,affine_minus_loss,loss_mia,0.0010795555555556113,0.004,0.012,0.03133333333333334
cross_cell_2,2,1,128,3,affine_minus_mismatched_lira,latent_lira_mismatched,-0.0012924444444445404,0.0,0.0013333333333333322,0.01733333333333333
