shots,simulator_seed,contrast,treatment_strategy,comparator_strategy,auc_difference,actual_fpr_difference,calibrated_tpr_difference
1024,1,cross_cell_4_minus_cross_cell_2,cross_cell_4,cross_cell_2,0.001683333333333259,-0.001333333333333334,-0.0016666666666666635
1024,1,cross_cell_8_minus_cross_cell_2,cross_cell_8,cross_cell_2,0.0014533333333333065,-0.001333333333333334,-0.004
1024,1,cross_cell_12_minus_cross_cell_2,cross_cell_12,cross_cell_2,0.0016955555555555613,-0.002,-0.0033333333333333305
1024,2,cross_cell_2_minus_same_cell_2,cross_cell_2,same_cell_2,0.0030237777777776254,0.001333333333333334,0.0049999999999999975
1024,2,cross_cell_4_minus_cross_cell_2,cross_cell_4,cross_cell_2,0.0010295555555557279,-0.0006666666666666661,-0.0023333333333333296
1024,2,cross_cell_8_minus_cross_cell_2,cross_cell_8,cross_cell_2,0.0011942222222223187,-0.002,-0.0029999999999999957
1024,2,cross_cell_12_minus_cross_cell_2,cross_cell_12,cross_cell_2,0.001578444444444549,-0.002666666666666666,-0.0029999999999999957
1024,3,cross_cell_2_minus_same_cell_2,cross_cell_2,same_cell_2,-0.0008835555555555263,0.0013333333333333322,0.001666666666666667
1024,3,cross_cell_4_minus_cross_cell_2,cross_cell_4,cross_cell_2,0.001180888888888787,-0.001666666666666667,-0.0003333333333333348
1024,3,cross_cell_8_minus_cross_cell_2,cross_cell_8,cross_cell_2,0.0013162222222221631,-0.002,-0.0026666666666666644
1024,3,cross_cell_12_minus_cross_cell_2,cross_cell_12,cross_cell_2,0.001336888888888832,-0.0033333333333333322,-0.002333333333333333
1024,4,cross_cell_2_minus_same_cell_2,cross_cell_2,same_cell_2,0.00028600000000000847,-0.002666666666666666,0.005333333333333332
1024,4,cross_cell_4_minus_cross_cell_2,cross_cell_4,cross_cell_2,0.001768888888888931,-0.001333333333333334,-0.0003333333333333313
1024,4,cross_cell_8_minus_cross_cell_2,cross_cell_8,cross_cell_2,0.001700888888888863,-0.0010000000000000009,-0.0006666666666666661
1024,4,cross_cell_12_minus_cross_cell_2,cross_cell_12,cross_cell_2,0.0017859999999999543,-0.002,-0.0013333333333333322
1024,5,cross_cell_2_minus_same_cell_2,cross_cell_2,same_cell_2,0.001640222222222265,0.004,0.0016666666666666635
1024,5,cross_cell_4_minus_cross_cell_2,cross_cell_4,cross_cell_2,0.0005404444444443435,-0.002,-0.0026666666666666644
