strategy,auxiliary_target_count,shots,simulator_seed,attack,n_subset_replicates,actual_fpr,calibrated_tpr
cross_cell_2,2,1024,9,loss_mia,66,0.028333333333333335,0.020666666666666667
cross_cell_2,2,128,0,affine_channel_lira,66,0.012666666666666666,0.026
cross_cell_2,2,128,0,latent_lira_mismatched,66,0.022,0.025
cross_cell_2,2,128,0,loss_mia,66,0.018,0.012666666666666666
cross_cell_2,2,128,1,affine_channel_lira,66,0.012,0.02666666666666667
cross_cell_2,2,128,1,latent_lira_mismatched,66,0.022,0.02
cross_cell_2,2,128,1,loss_mia,66,0.015333333333333332,0.017
cross_cell_2,2,128,2,affine_channel_lira,66,0.012666666666666666,0.027333333333333334
cross_cell_2,2,128,2,latent_lira_mismatched,66,0.02,0.021666666666666667
cross_cell_2,2,128,2,loss_mia,66,0.013333333333333334,0.015666666666666666
cross_cell_2,2,128,3,affine_channel_lira,66,0.013333333333333334,0.024666666666666667
cross_cell_2,2,128,3,latent_lira_mismatched,66,0.018333333333333333,0.022
cross_cell_2,2,128,3,loss_mia,66,0.016,0.014666666666666666
cross_cell_2,2,128,4,affine_channel_lira,66,0.014,0.02666666666666667
cross_cell_2,2,128,4,latent_lira_mismatched,66,0.024,0.022
cross_cell_2,2,128,4,loss_mia,66,0.016,0.012333333333333333
cross_cell_2,2,128,5,affine_channel_lira,66,0.015333333333333332,0.02666666666666667
cross_cell_2,2,128,5,latent_lira_mismatched,66,0.025666666666666664,0.027333333333333334
cross_cell_2,2,128,5,loss_mia,66,0.016,0.014666666666666666
cross_cell_2,2,128,6,affine_channel_lira,66,0.014,0.025333333333333333
cross_cell_2,2,128,6,latent_lira_mismatched,66,0.017333333333333333,0.026
cross_cell_2,2,128,6,loss_mia,66,0.020333333333333335,0.010666666666666666
cross_cell_2,2,128,7,affine_channel_lira,66,0.011333333333333334,0.028
cross_cell_2,2,128,7,latent_lira_mismatched,66,0.024,0.024
cross_cell_2,2,128,7,loss_mia,66,0.016666666666666666,0.016
cross_cell_2,2,128,8,affine_channel_lira,66,0.012,0.028666666666666667
cross_cell_2,2,128,8,latent_lira_mismatched,66,0.023333333333333334,0.023333333333333334
cross_cell_2,2,128,8,loss_mia,66,0.015666666666666666,0.017
cross_cell_2,2,128,9,affine_channel_lira,66,0.010666666666666666,0.025333333333333333
cross_cell_2,2,128,9,latent_lira_mismatched,66,0.025666666666666664,0.026
cross_cell_2,2,128,9,loss_mia,66,0.014666666666666666,0.014
cross_cell_2,2,512,0,affine_channel_lira,66,0.012,0.029333333333333333
cross_cell_2,2,512,0,latent_lira_mismatched,66,0.01633333333333333,0.02266666666666667
cross_cell_2,2,512,0,loss_mia,66,0.02366666666666667,0.020333333333333335
cross_cell_2,2,512,1,affine_channel_lira,66,0.015333333333333332,0.028999999999999998
cross_cell_2,2,512,1,latent_lira_mismatched,66,0.018666666666666668,0.015666666666666666
cross_cell_2,2,512,1,loss_mia,66,0.024666666666666667,0.021666666666666667
cross_cell_2,2,512,2,affine_channel_lira,66,0.012,0.028999999999999998
cross_cell_2,2,512,2,latent_lira_mismatched,66,0.015,0.018
cross_cell_2,2,512,2,loss_mia,66,0.023,0.018666666666666665
cross_cell_2,2,512,3,affine_channel_lira,66,0.012,0.027000000000000003
cross_cell_2,2,512,3,latent_lira_mismatched,66,0.015,0.017333333333333333
cross_cell_2,2,512,3,loss_mia,66,0.018666666666666668,0.018666666666666668
cross_cell_2,2,512,4,affine_channel_lira,66,0.014,0.028333333333333335
cross_cell_2,2,512,4,latent_lira_mismatched,66,0.016,0.02266666666666667
cross_cell_2,2,512,4,loss_mia,66,0.024666666666666667,0.019666666666666666
cross_cell_2,2,512,5,affine_channel_lira,66,0.012666666666666666,0.03
cross_cell_2,2,512,5,latent_lira_mismatched,66,0.012333333333333333,0.021333333333333333
cross_cell_2,2,512,5,loss_mia,66,0.021666666666666667,0.018333333333333333
cross_cell_2,2,512,6,affine_channel_lira,66,0.01633333333333333,0.028333333333333335
cross_cell_2,2,512,6,latent_lira_mismatched,66,0.015333333333333332,0.016
cross_cell_2,2,512,6,loss_mia,66,0.025666666666666664,0.017333333333333333
cross_cell_2,2,512,7,affine_channel_lira,66,0.014,0.028666666666666667
cross_cell_2,2,512,7,latent_lira_mismatched,66,0.013333333333333334,0.018
cross_cell_2,2,512,7,loss_mia,66,0.025333333333333333,0.02
cross_cell_2,2,512,8,affine_channel_lira,66,0.012666666666666666,0.03
cross_cell_2,2,512,8,latent_lira_mismatched,66,0.014666666666666666,0.023
cross_cell_2,2,512,8,loss_mia,66,0.023,0.019666666666666666
cross_cell_2,2,512,9,affine_channel_lira,66,0.013333333333333334,0.027666666666666666
cross_cell_2,2,512,9,latent_lira_mismatched,66,0.014666666666666666,0.02
cross_cell_2,2,512,9,loss_mia,66,0.025,0.019000000000000003
cross_cell_4,4,1024,0,affine_channel_lira,32,0.011,0.028999999999999998
cross_cell_4,4,1024,0,latent_lira_mismatched,32,0.012666666666666666,0.019333333333333334
cross_cell_4,4,1024,0,loss_mia,32,0.01633333333333333,0.008
cross_cell_4,4,1024,1,affine_channel_lira,32,0.012666666666666666,0.028333333333333335
cross_cell_4,4,1024,1,latent_lira_mismatched,32,0.013666666666666667,0.02
cross_cell_4,4,1024,1,loss_mia,32,0.013999999999999999,0.010666666666666666
cross_cell_4,4,1024,2,affine_channel_lira,32,0.011333333333333334,0.028
cross_cell_4,4,1024,2,latent_lira_mismatched,32,0.011333333333333334,0.018333333333333333
cross_cell_4,4,1024,2,loss_mia,32,0.015,0.009666666666666667
cross_cell_4,4,1024,3,affine_channel_lira,32,0.011,0.029333333333333333
cross_cell_4,4,1024,3,latent_lira_mismatched,32,0.011666666666666667,0.013666666666666667
cross_cell_4,4,1024,3,loss_mia,32,0.015,0.011333333333333334
cross_cell_4,4,1024,4,affine_channel_lira,32,0.012,0.029666666666666668
cross_cell_4,4,1024,4,latent_lira_mismatched,32,0.012,0.019666666666666666
cross_cell_4,4,1024,4,loss_mia,32,0.015,0.011333333333333334
cross_cell_4,4,1024,5,affine_channel_lira,32,0.01,0.026333333333333334
cross_cell_4,4,1024,5,latent_lira_mismatched,32,0.01,0.019333333333333334
cross_cell_4,4,1024,5,loss_mia,32,0.015666666666666666,0.010666666666666666
cross_cell_4,4,1024,6,affine_channel_lira,32,0.012,0.025
cross_cell_4,4,1024,6,latent_lira_mismatched,32,0.014,0.015333333333333332
cross_cell_4,4,1024,6,loss_mia,32,0.016666666666666666,0.011
