scope,scope_id,scheme,mode,shots,simulator_seed,attack,reference_count,n_member,n_nonmember,auc,advantage,tpr_at_0_1pct_fpr,attained_fpr_at_0_1pct_fpr,tpr_at_1pct_fpr,attained_fpr_at_1pct_fpr,tpr_at_5pct_fpr,attained_fpr_at_5pct_fpr
cell,eff_su2_r1_d2,leave_target_out,ideal_shot,128,1,matched_reference_lira_offline_fixed_variance,16,3000,3000,0.49170111111111114,0.001666666666666667,0.0013333333333333333,0.001,0.011333333333333334,0.009666666666666667,0.046,0.04933333333333333
target,MNIST_QNN_eff_su2_r1_d2_p7_s143,leave_target_out,ideal_shot,128,1,matched_reference_lira_offline_fixed_variance,16,1000,1000,0.485224,0.010000000000000009,0.002,0.0,0.011,0.007,0.051,0.05
target,MNIST_QNN_eff_su2_r1_d2_p7_s144,leave_target_out,ideal_shot,128,1,matched_reference_lira_offline_fixed_variance,16,1000,1000,0.49026100000000006,0.010999999999999996,0.0,0.0,0.003,0.007,0.053,0.05
target,MNIST_QNN_eff_su2_r1_d2_p7_s145,leave_target_out,ideal_shot,128,1,matched_reference_lira_offline_fixed_variance,16,1000,1000,0.4984905,0.029000000000000026,0.003,0.0,0.016,0.009,0.035,0.05
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,0,loss_mia,0,3000,3000,0.5231383333333334,0.04266666666666663,0.0006666666666666666,0.0003333333333333333,0.008666666666666666,0.009,0.04766666666666667,0.04933333333333333
target,MNIST_QNN_eff_su2_r1_d2_p7_s143,leave_target_out,noisy_shot,128,0,loss_mia,0,1000,1000,0.5119149999999999,0.03700000000000003,0.001,0.001,0.008,0.01,0.044,0.049
target,MNIST_QNN_eff_su2_r1_d2_p7_s144,leave_target_out,noisy_shot,128,0,loss_mia,0,1000,1000,0.531906,0.05399999999999999,0.004,0.001,0.011,0.01,0.058,0.049
target,MNIST_QNN_eff_su2_r1_d2_p7_s145,leave_target_out,noisy_shot,128,0,loss_mia,0,1000,1000,0.525621,0.05399999999999999,0.0,0.0,0.01,0.01,0.05,0.042
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,1,loss_mia,0,3000,3000,0.5263283333333333,0.04966666666666675,0.0013333333333333333,0.0003333333333333333,0.014333333333333333,0.01,0.054,0.05
target,MNIST_QNN_eff_su2_r1_d2_p7_s143,leave_target_out,noisy_shot,128,1,loss_mia,0,1000,1000,0.5225609999999999,0.05299999999999999,0.002,0.001,0.015,0.009,0.056,0.05
target,MNIST_QNN_eff_su2_r1_d2_p7_s144,leave_target_out,noisy_shot,128,1,loss_mia,0,1000,1000,0.5290239999999999,0.06399999999999995,0.001,0.001,0.012,0.01,0.065,0.049
target,MNIST_QNN_eff_su2_r1_d2_p7_s145,leave_target_out,noisy_shot,128,1,loss_mia,0,1000,1000,0.5262,0.06300000000000006,0.005,0.001,0.016,0.01,0.05,0.049
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,0,latent_lira_mismatched,16,3000,3000,0.49535711111111114,0.01866666666666672,0.0006666666666666666,0.0006666666666666666,0.007666666666666666,0.009333333333333334,0.04,0.04933333333333333
target,MNIST_QNN_eff_su2_r1_d2_p7_s143,leave_target_out,noisy_shot,128,0,latent_lira_mismatched,16,1000,1000,0.499546,0.030000000000000027,0.0,0.0,0.006,0.008,0.041,0.05
target,MNIST_QNN_eff_su2_r1_d2_p7_s144,leave_target_out,noisy_shot,128,0,latent_lira_mismatched,16,1000,1000,0.504351,0.04699999999999993,0.004,0.001,0.01,0.01,0.049,0.05
target,MNIST_QNN_eff_su2_r1_d2_p7_s145,leave_target_out,noisy_shot,128,0,latent_lira_mismatched,16,1000,1000,0.483167,0.007000000000000006,0.001,0.0,0.006,0.009,0.033,0.05
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,1,latent_lira_mismatched,16,3000,3000,0.4970994444444445,0.033666666666666734,0.0016666666666666668,0.001,0.008333333333333333,0.01,0.044333333333333336,0.05
target,MNIST_QNN_eff_su2_r1_d2_p7_s143,leave_target_out,noisy_shot,128,1,latent_lira_mismatched,16,1000,1000,0.478737,0.028000000000000025,0.004,0.001,0.011,0.01,0.042,0.05
target,MNIST_QNN_eff_su2_r1_d2_p7_s144,leave_target_out,noisy_shot,128,1,latent_lira_mismatched,16,1000,1000,0.5061199999999999,0.041999999999999926,0.001,0.001,0.008,0.009,0.056,0.047
target,MNIST_QNN_eff_su2_r1_d2_p7_s145,leave_target_out,noisy_shot,128,1,latent_lira_mismatched,16,1000,1000,0.5042909999999999,0.05399999999999994,0.001,0.001,0.006,0.01,0.037,0.048
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,0,deconvolved_lira,16,3000,3000,0.4937676666666666,0.008333333333333304,0.001,0.0006666666666666666,0.005666666666666667,0.007666666666666666,0.044333333333333336,0.05
target,MNIST_QNN_eff_su2_r1_d2_p7_s143,leave_target_out,noisy_shot,128,0,deconvolved_lira,16,1000,1000,0.48949600000000004,0.02100000000000002,0.001,0.001,0.005,0.008,0.04,0.05
target,MNIST_QNN_eff_su2_r1_d2_p7_s144,leave_target_out,noisy_shot,128,0,deconvolved_lira,16,1000,1000,0.504923,0.03499999999999992,0.001,0.001,0.008,0.007,0.057,0.05
target,MNIST_QNN_eff_su2_r1_d2_p7_s145,leave_target_out,noisy_shot,128,0,deconvolved_lira,16,1000,1000,0.48626199999999997,0.010000000000000009,0.001,0.0,0.009,0.01,0.041,0.049
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,1,deconvolved_lira,16,3000,3000,0.4936365555555555,0.02533333333333343,0.0013333333333333333,0.0003333333333333333,0.007,0.01,0.044,0.05
target,MNIST_QNN_eff_su2_r1_d2_p7_s143,leave_target_out,noisy_shot,128,1,deconvolved_lira,16,1000,1000,0.477116,0.029000000000000026,0.006,0.0,0.01,0.01,0.045,0.049
target,MNIST_QNN_eff_su2_r1_d2_p7_s144,leave_target_out,noisy_shot,128,1,deconvolved_lira,16,1000,1000,0.50375,0.03400000000000003,0.0,0.0,0.007,0.008,0.058,0.05
target,MNIST_QNN_eff_su2_r1_d2_p7_s145,leave_target_out,noisy_shot,128,1,deconvolved_lira,16,1000,1000,0.498701,0.041000000000000036,0.001,0.0,0.003,0.009,0.035,0.05
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,0,affine_channel_lira,16,3000,3000,0.49427400000000005,0.007666666666666655,0.0006666666666666666,0.0003333333333333333,0.008,0.009333333333333334,0.042333333333333334,0.05
target,MNIST_QNN_eff_su2_r1_d2_p7_s143,leave_target_out,noisy_shot,128,0,affine_channel_lira,16,1000,1000,0.480025,0.0020000000000000018,0.0,0.0,0.004,0.007,0.037,0.049
