Target ID,Target seed,Risk configuration,Structural cell,Mode,Shots,Simulator seeds,Δ test accuracy vs exact,Δ test accuracy 95% CI,Δ loss AUC vs exact,Δ loss AUC 95% CI,Valid bootstrap
MNIST_QNN_zz_r1_d6_s44,44,medium_risk_zz_repetition_baseline,zz_r1_d6,ideal_shot,1024,10,0.001,"[-0.005, 0.007]",-0.0025199999999999,"[-0.006, 0.001]",5000
MNIST_QNN_zz_r1_d6_s44,44,medium_risk_zz_repetition_baseline,zz_r1_d6,noisy_shot,128,10,-0.0149999999999999,"[-0.034, 0.000]",-0.0126299999999999,"[-0.028, 0.004]",5000
MNIST_QNN_zz_r1_d6_s44,44,medium_risk_zz_repetition_baseline,zz_r1_d6,noisy_shot,512,10,0.025,"[0.016, 0.033]",-0.0014199999999999,"[-0.005, 0.002]",5000
MNIST_QNN_zz_r1_d6_s44,44,medium_risk_zz_repetition_baseline,zz_r1_d6,noisy_shot,1024,10,0.021,"[0.012, 0.032]",0.00795,"[0.005, 0.012]",5000
MNIST_QNN_zz_r1_d6_s45,45,medium_risk_zz_repetition_baseline,zz_r1_d6,ideal_shot,128,10,-0.011,"[-0.030, 0.010]",-0.0087699999999999,"[-0.018, 0.000]",5000
MNIST_QNN_zz_r1_d6_s45,45,medium_risk_zz_repetition_baseline,zz_r1_d6,ideal_shot,512,10,-0.003,"[-0.017, 0.011]",-0.0041699999999999,"[-0.008, 0.000]",5000
MNIST_QNN_zz_r1_d6_s45,45,medium_risk_zz_repetition_baseline,zz_r1_d6,ideal_shot,1024,10,0.001,"[-0.008, 0.010]",-0.0013399999999999,"[-0.004, 0.002]",5000
MNIST_QNN_zz_r1_d6_s45,45,medium_risk_zz_repetition_baseline,zz_r1_d6,noisy_shot,128,10,-0.0419999999999999,"[-0.056, -0.028]",-0.0096699999999999,"[-0.023, 0.005]",5000
MNIST_QNN_zz_r1_d6_s45,45,medium_risk_zz_repetition_baseline,zz_r1_d6,noisy_shot,512,10,0.001,"[-0.011, 0.014]",0.00682,"[-0.001, 0.016]",5000
MNIST_QNN_zz_r1_d6_s45,45,medium_risk_zz_repetition_baseline,zz_r1_d6,noisy_shot,1024,10,0.001,"[-0.009, 0.011]",0.00965,"[0.003, 0.018]",5000
MNIST_QNN_zz_r5_d6_s43,43,high_risk_anchor,zz_r5_d6,ideal_shot,128,10,-0.016,"[-0.035, -0.001]",-0.02482,"[-0.035, -0.016]",5000
MNIST_QNN_zz_r5_d6_s43,43,high_risk_anchor,zz_r5_d6,ideal_shot,512,10,-0.005,"[-0.022, 0.010]",-0.0029899999999999,"[-0.007, 0.001]",5000
MNIST_QNN_zz_r5_d6_s43,43,high_risk_anchor,zz_r5_d6,ideal_shot,1024,10,0.0119999999999999,"[0.001, 0.024]",-0.00419,"[-0.009, 0.000]",5000
MNIST_QNN_zz_r5_d6_s43,43,high_risk_anchor,zz_r5_d6,noisy_shot,128,10,-0.039,"[-0.057, -0.021]",-0.0721699999999999,"[-0.090, -0.054]",5000
MNIST_QNN_zz_r5_d6_s43,43,high_risk_anchor,zz_r5_d6,noisy_shot,512,10,0.0169999999999999,"[0.002, 0.031]",-0.04672,"[-0.058, -0.034]",5000
MNIST_QNN_zz_r5_d6_s43,43,high_risk_anchor,zz_r5_d6,noisy_shot,1024,10,0.0359999999999999,"[0.029, 0.042]",-0.0409999999999999,"[-0.049, -0.034]",5000
MNIST_QNN_zz_r5_d6_s44,44,high_risk_anchor,zz_r5_d6,ideal_shot,128,10,-0.039,"[-0.055, -0.024]",-0.0337900000000001,"[-0.043, -0.025]",5000
MNIST_QNN_zz_r5_d6_s44,44,high_risk_anchor,zz_r5_d6,ideal_shot,512,10,-0.011,"[-0.019, -0.003]",-0.0152,"[-0.022, -0.008]",5000
MNIST_QNN_zz_r5_d6_s44,44,high_risk_anchor,zz_r5_d6,ideal_shot,1024,10,-0.013,"[-0.022, -0.005]",-0.00431,"[-0.007, -0.002]",5000
MNIST_QNN_zz_r5_d6_s44,44,high_risk_anchor,zz_r5_d6,noisy_shot,128,10,-0.077,"[-0.092, -0.060]",-0.0853100000000001,"[-0.098, -0.072]",5000
MNIST_QNN_zz_r5_d6_s44,44,high_risk_anchor,zz_r5_d6,noisy_shot,512,10,-0.08,"[-0.101, -0.061]",-0.05452,"[-0.064, -0.044]",5000
MNIST_QNN_zz_r5_d6_s44,44,high_risk_anchor,zz_r5_d6,noisy_shot,1024,10,-0.06,"[-0.070, -0.048]",-0.05335,"[-0.058, -0.049]",5000
MNIST_QNN_zz_r5_d6_s45,45,high_risk_anchor,zz_r5_d6,ideal_shot,128,10,-0.047,"[-0.062, -0.033]",-0.0287199999999999,"[-0.042, -0.016]",5000
MNIST_QNN_zz_r5_d6_s45,45,high_risk_anchor,zz_r5_d6,ideal_shot,512,10,-0.038,"[-0.047, -0.031]",-0.0095399999999999,"[-0.015, -0.004]",5000
MNIST_QNN_zz_r5_d6_s45,45,high_risk_anchor,zz_r5_d6,ideal_shot,1024,10,-0.033,"[-0.044, -0.023]",-0.0037399999999999,"[-0.008, 0.000]",5000
MNIST_QNN_zz_r5_d6_s45,45,high_risk_anchor,zz_r5_d6,noisy_shot,128,10,-0.05,"[-0.074, -0.030]",-0.0767099999999999,"[-0.096, -0.053]",5000
MNIST_QNN_zz_r5_d6_s45,45,high_risk_anchor,zz_r5_d6,noisy_shot,512,10,-0.012,"[-0.033, 0.009]",-0.0458699999999999,"[-0.052, -0.040]",5000
MNIST_QNN_zz_r5_d6_s45,45,high_risk_anchor,zz_r5_d6,noisy_shot,1024,10,-0.01,"[-0.023, 0.002]",-0.0357599999999999,"[-0.042, -0.030]",5000
