scope,scope_id,scheme,mode,shots,simulator_seed,attack,reference_count,n_member,n_nonmember,auc,advantage,tpr_at_0_1pct_fpr,attained_fpr_at_0_1pct_fpr,tpr_at_1pct_fpr,attained_fpr_at_1pct_fpr,tpr_at_5pct_fpr,attained_fpr_at_5pct_fpr
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,ideal_shot,128,0,target_crossfit_learned_mia,0,200,200,0.481825,0.05499999999999994,0.01,0.0,0.015,0.005,0.035,0.04
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,ideal_shot,128,0,target_crossfit_learned_mia,0,200,200,0.51925,0.08999999999999997,0.005,0.0,0.015,0.01,0.06,0.05
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,ideal_shot,128,0,target_crossfit_learned_mia,0,200,200,0.491425,0.03999999999999998,0.01,0.0,0.02,0.01,0.065,0.045
cell,eff_su2_r1_d2,leave_target_out,ideal_shot,128,1,target_crossfit_learned_mia,0,600,600,0.48694166666666666,0.015000000000000013,0.0,0.0,0.006666666666666667,0.008333333333333333,0.041666666666666664,0.05
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,ideal_shot,128,1,target_crossfit_learned_mia,0,200,200,0.48755000000000004,0.06000000000000005,0.0,0.0,0.01,0.01,0.04,0.045
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,ideal_shot,128,1,target_crossfit_learned_mia,0,200,200,0.47175,0.0050000000000000044,0.0,0.0,0.0,0.0,0.03,0.04
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,ideal_shot,128,1,target_crossfit_learned_mia,0,200,200,0.5006,0.044999999999999984,0.0,0.0,0.02,0.01,0.045,0.04
cell,eff_su2_r1_d2,leave_target_out,ideal_shot,128,0,matched_reference_lira_online,16,600,600,0.47520277777777775,0.020000000000000018,0.0,0.0,0.0033333333333333335,0.006666666666666667,0.051666666666666666,0.05
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,ideal_shot,128,0,matched_reference_lira_online,16,200,200,0.49694999999999995,0.04500000000000001,0.0,0.0,0.005,0.005,0.08,0.05
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,ideal_shot,128,0,matched_reference_lira_online,16,200,200,0.388075,0.0,0.0,0.0,0.0,0.0,0.015,0.04
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,ideal_shot,128,0,matched_reference_lira_online,16,200,200,0.54145,0.10999999999999999,0.0,0.0,0.005,0.005,0.075,0.05
cell,eff_su2_r1_d2,leave_target_out,ideal_shot,128,1,matched_reference_lira_online,16,600,600,0.523625,0.06333333333333335,0.008333333333333333,0.0,0.015,0.005,0.07833333333333334,0.05
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,ideal_shot,128,1,matched_reference_lira_online,16,200,200,0.47685,0.035,0.0,0.0,0.0,0.0,0.055,0.045
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,ideal_shot,128,1,matched_reference_lira_online,16,200,200,0.5784750000000001,0.15000000000000002,0.01,0.0,0.035,0.01,0.1,0.05
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,ideal_shot,128,1,matched_reference_lira_online,16,200,200,0.516175,0.09500000000000003,0.03,0.0,0.05,0.01,0.09,0.05
cell,eff_su2_r1_d2,leave_target_out,ideal_shot,128,0,matched_reference_lira_online_fixed_variance,16,600,600,0.47388055555555564,0.024999999999999994,0.0016666666666666668,0.0,0.011666666666666667,0.01,0.04666666666666667,0.05
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,ideal_shot,128,0,matched_reference_lira_online_fixed_variance,16,200,200,0.49407500000000004,0.05000000000000002,0.015,0.0,0.025,0.01,0.045,0.045
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,ideal_shot,128,0,matched_reference_lira_online_fixed_variance,16,200,200,0.40322500000000006,0.020000000000000018,0.0,0.0,0.01,0.01,0.04,0.05
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,ideal_shot,128,0,matched_reference_lira_online_fixed_variance,16,200,200,0.5233,0.09999999999999998,0.0,0.0,0.005,0.005,0.05,0.045
cell,eff_su2_r1_d2,leave_target_out,ideal_shot,128,1,matched_reference_lira_online_fixed_variance,16,600,600,0.5119722222222223,0.043333333333333335,0.0,0.0,0.01,0.01,0.04666666666666667,0.04833333333333333
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,ideal_shot,128,1,matched_reference_lira_online_fixed_variance,16,200,200,0.489,0.040000000000000036,0.005,0.0,0.005,0.0,0.03,0.045
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,ideal_shot,128,1,matched_reference_lira_online_fixed_variance,16,200,200,0.53125,0.08499999999999999,0.005,0.0,0.02,0.01,0.06,0.05
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,ideal_shot,128,1,matched_reference_lira_online_fixed_variance,16,200,200,0.5134749999999999,0.05500000000000005,0.0,0.0,0.01,0.005,0.055,0.03
cell,eff_su2_r1_d2,leave_target_out,ideal_shot,128,0,matched_reference_lira_offline,16,600,600,0.4803611111111111,0.011666666666666659,0.0,0.0,0.0033333333333333335,0.008333333333333333,0.043333333333333335,0.05
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,ideal_shot,128,0,matched_reference_lira_offline,16,200,200,0.497425,0.05999999999999994,0.0,0.0,0.005,0.005,0.055,0.045
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,ideal_shot,128,0,matched_reference_lira_offline,16,200,200,0.3975000000000001,0.0,0.0,0.0,0.0,0.0,0.03,0.05
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,ideal_shot,128,0,matched_reference_lira_offline,16,200,200,0.547925,0.10500000000000004,0.005,0.0,0.005,0.0,0.08,0.05
cell,eff_su2_r1_d2,leave_target_out,ideal_shot,128,1,matched_reference_lira_offline,16,600,600,0.5144833333333334,0.04166666666666674,0.0033333333333333335,0.0,0.023333333333333334,0.006666666666666667,0.056666666666666664,0.05
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,ideal_shot,128,1,matched_reference_lira_offline,16,200,200,0.482075,0.04999999999999993,0.0,0.0,0.005,0.01,0.015,0.05
target,MNIST_QNN_eff_su2_r1_d2_s44,leave_target_out,ideal_shot,128,1,matched_reference_lira_offline,16,200,200,0.535475,0.07999999999999996,0.03,0.0,0.035,0.005,0.055,0.04
target,MNIST_QNN_eff_su2_r1_d2_s45,leave_target_out,ideal_shot,128,1,matched_reference_lira_offline,16,200,200,0.5223249999999999,0.065,0.02,0.0,0.045,0.01,0.08,0.04
cell,eff_su2_r1_d2,leave_target_out,ideal_shot,128,0,matched_reference_lira_offline_fixed_variance,16,600,600,0.48565555555555556,0.016666666666666663,0.0,0.0,0.01,0.01,0.043333333333333335,0.05
target,MNIST_QNN_eff_su2_r1_d2_s43,leave_target_out,ideal_shot,128,0,matched_reference_lira_offline_fixed_variance,16,200,200,0.492475,0.04499999999999993,0.015,0.0,0.025,0.005,0.05,0.045
